Type,Plant - Common,Full Grown Characteristics,Flower Color,Soil Type,Sun Exposure,Foliage Color
FERNS,"Fern, Autumn","18-24""Tx18-24""W",,Moist,Part/Full Shade,Green (new fronds red/orange)
FERNS,"Fern, Branford Rambler","18-24""x24-36""W, spreading and mound forming ", ,Dry,Full Sun/Part Sun,Variegated
FERNS,"Fern, Christmas","24""Tx30-36""W, evergreen, N",,Moist,Part/Full Shade,Evergreen
FERNS,"Fern, Cinnamon","36-48""Tx36-48""W, spore spikes, moist, N",,Moist,Part/Full Shade,Yellow/ Green
FERNS,"Fern, Crested Red Lady","30-36""Tx30-36""W, burgundy stems, N",,Moist,Part/Full Shade,Green w/burgundy stems
FERNS,"Fern, Dixie Wood","3-4'Tx2'W, dark green, semi-evergreen foliage, upright, Deer Resistant",,Moist,Part/Full Shade,Dk Green
FERNS,"Fern, Ghost","24-30""Tx24-30""W, silverfish-gray-green foliage, rigidly upright",,Moist,Part/Full Shade,Silver/Gray/Green
FERNS,"Fern, Hayscented","30""Tx30-36""W, creeping, yellow-green fronds, sun/shade,  N",,Moist,Sun/Part Sun,Yellow/Green
FERNS,"Fern, Japanese Beech","12-24""Tx12-18""W, large, arching dark green fronds with a lighter underside",,Dry to Moist,Sun/Part Sun,DkGreen/Lt Green
FERNS,"Fern, Japanese Painted","6-12""Tx18-24""W, silver-purple fronds, moist ",,Moist,Part/Full Shade,Silver/Purple
FERNS,"Fern, Maidenhair","24-30""T, graceful, fan-shaped delicate fronds, moist, N",,Moist,Filtered /Full Shade,Med Green
FERNS,"Fern, Marginal Shield/Leatherwood","20""Tx24-30""W, evergreen, dusty blue fronds, N",,"Moist, Acidic",Part/Full Shade,Dusty Blue
FERNS,"Fern, New York","12-24""Tx24-48""W, soft, yellow-green fronds, consistently moist soil, filtered light, N",,Moist,Filtered Shade,Yellow/Greenn
FERNS,"Fern, Ostrich","6'Tx2-3'W, vase-shaped, moist, acidic, shade, N",,"Moist, Acidic",Part/Full Shade,Green Grey
FERNS,"Fern, Royal","4-6'Tx30-36""W, pale green leathery, moist, yellow fall color, N",,Moist,Part/Full Shade,Pale Green
FERNS,"Fern, Sensitive","18-24""Tx30-36'W, spreading fern, moist shade",,Moist,Part/Full Shade,Lt Green
FERNS," Fern, Goldies Wood","3-4' Tx2-3'W, evergreen, graceful, arching fronds, wet soil",,,,
FRUITS,Apple,"15-20'Tx15-20'W, white flowers, Spring, med-sized,  Gala, Honeycrisp, Red Delicious",White,,,
FRUITS,Apple,"5-8'Tx 8-10'W, pink/white flowers, spring, Red Delicious, Golden Delicious, Granny Smith, Gavenstein (Espaliered Form)",Pink/White,,,
FRUITS,Apple,"10-15'Tx 8-10'W, pink/white flowers, spring, Red Delicious, Golden Delicious, Granny Smith, Gavenstein ",Pink/White,,,
FRUITS,Blackberry,"4-6'Tx4-6'W, thornless, large, very sweet fruit, ripens in July",,,,
FRUITS,Thornless Blackberry,"5-6'Tx5-6'W, white-pink flowers, May, fruit ripens in mid-summer, thornless, vine-like canes",Pink/White,,,
FRUITS,"Blackberry, Thornless Dwarf","3-4'Tx 3-4'W, white flowers, Spring, large, juicy berries in mid-summer, produce twice in one season, on 2nd year canes",White,,,
FRUITS,Elderberry,"8-10'Tx 8-10'W, broad, rounded shrub, fruit ripens early August, birds, N",White,,,
FRUITS,Fig,"12-15'Tx12-15'W, juicy, sweet, reddish-brown fruit, self-pollinating",,,,
FRUITS,Gooseberry/Currant,"3-5'Tx3-5'W, greenish/yellow flowers, late April-early May, bright red berries, compact, birds",Green/Yellow,,,
FRUITS,Grape,"12-15' length, flowers in June, seedless, blue-black fruit, September",,,,
FRUITS,Peach,"10-12'Tx10-12'W, semi-dwarf, freestone, self-fertile, yellow/red fruit, late Aug",,,,
FRUITS,Peach,"10-12'Tx10-12'W, semi-dwarf, self-fertile, yellow/red fruit, late July",,,,
FRUITS,Peach,"10-12'Tx10-12'W, standard, freestone, self-fertile, bright yellow fruit, mid-late Aug",,,,
FRUITS,"Raspberry, Black","4-6'Tx4-6'W, large, glossy black fruit, more disease resistant",,,,
FRUITS,"Raspberry, Red","5-7'Tx5-7'W, first crop mid-July, 2nd crop early September, flavorful fruit",,,,
FRUITS,"Raspberry, Yellow","4-5'Tx4-5'W, extra large yellow berries ripen in Aug-Oct",,,,
FRUITS,"Raspberry, Thornless Dwarf","2-3'Tx2-3'W, sweet, summer berries",,,,
FRUITS,Rhubarb,"3-4'Tx 3-4'W, juicy, red stalks, summer stress resistant",,,,
FRUITS,"Strawberry, Everbearing","12""Tx2'W, rose-colored flowers, runnerless",Rose,,,
FRUITS,Sweet Cherry,"30'Tx25'W, fragrant, white flowers, late April, large, dark-burgundy red, sweet fruit, late June, Semi-Dwarf, Pollinator for 'Black Tartarian'",White,,,
FRUITS,Sweet Cherry,"20-30'Tx 20-30'W, white flowers, Spring, yellow-blushed with red fruit, mid-summer, Pollinator for 'Bing'",White,,,
